Txhash,From,Amount
0x377aa2a63bd3d3e9ab9924eece4e16dff117cec1a295732a726ffc2341e57991,0x5f0f73143b2eb8c4c124f0eefbaf2b69f9dd0a18,1494
0x48db820bc676213c8a91b207267448c4947eb926c32611f122ad57aae6fc3c60,0xb3e7fa378afc0d02a0adc548e09cf7dbd684ed4f,500
0x3e355ce2e3532405975701b998ad6141b444656c480291db1378dbe39a286953,0x96228749eaab6ea953787b9b5817762021581495,2133.2635248166
0xadc2e0ed6d6d34ae8aa7c1856226f6d82ff4778cda55d8eafe1bb907ac9b169a,0xcb927731f27898b30ad85964f9c5b784772cb924,10034.0241340346
0x6a590ce4040cad0be1c82fff04900e7314aac2f5d069135bd1782e935330a1c8,0xa85fefdc74bd5a91090406321b02d09d79438bc3,397.26
0x769cf357ed49fddde951ea36bb8f85123c9871bd7332ee31d658ff1ac2095efd,0x68810a7e844978381b28afbe60f611aa5df33c01,2000
0xc30a097eefbe6636219933e1cdbd8c1f11f11264beb232d24a3db5bf7e70ca11,0xe7843c8bb30775d71f8b16dc1e79763c7e5c9eb1,6023.91
0x9452da2dda7ea5ebcfa395b8fd31436452110e1b868a048c7f7efd233012e224,0xbcae9454240181f92d2e5f60103bdf3c2cf0cb42,6000
0x9f3680b2e511d57d819eff9fb781ffaa393e069baadfe60997b36e707eebfd33,0xd53db76369fbb6584e0bec45d4e8d62eb46e5700,12585.873
0x4f43169a5383503c12bde3b55e089b31e3dee0168294f11e31c524f784837db1,0x046332f2bd20a7a6ab535af3a66df02439979d5b,2840.8098311555
0x14bdfdd0239e00663435c39f517475eee910c126aabb718ce40622ac70fa19e9,0x44d3f427d6d7c0547c82c18eab1a9199d1508cc4,59.2387709625
0x251fe2219def378a9876e25a32ddac4c978bd2f3e1d1e04a9ab26884b57324d7,0x04d664e0c722f09ee4acb5ce82b8ba6483a33da3,10799.19
0x6faaa2e61c7227860e6443145b8144eaffdd4cf26a38a01b81095a7a53be219e,0x5b0e7e94fbf9f04fc7ffb1c6db48f58f1df3c400,4562.4902303115
0x57e55e823b5f10931a6ba676c5cf44b8097a6248046ac146e5bcfdb7d39ff3a7,0xfa60c33563eeac650b16659f85d033818e96af4f,1001.3161621692
0xbb0dda295c5c3076e9b479d71189098d5fdbb9db18c3d6fbc808e625875c226b,0x769c6d51f9690c33e6a58fa9100b75bf467017da,100
0x084c45e72f75ccee0630c0122f859189d46c0ba86c3fc00528ce8170b15ace99,0x2968d06e2491881c04ba240cc530cebec75252e8,1475.7985698506
0x9af6e2e0c0ac05298d19317eebe33fd1d6a7d699397b8ee1a5e9e247e7f356f1,0x718c6a922eaa6c23634a28db026e95821bfa35c9,385
0x0f5ea1a8839ec24f515efc586bcb2be16ddccbe978350432bb1c9f6b7d8d64cc,0xa2908e1339ecc6723d8e94d9142e6e14d55327b5,1364.409
0xe3e6a931f6e6944e0aff4f1cd71de1440518b42be48b67b48f37bf278701b29c,0x29423060a037b1dcbbae1713789a6fb9d78e6080,298.0765641346
0xcaadf2181ac70d8249a1271b1b67419e92ffceee5a358ed89c095762d37611f7,0x0133f65ecb4e7560805457809e36229513151650,2000
0xa074dafee9410a908e7898be10aab9c65a099b722caa34dec62f34ad53ad2ba1,0xc92f8bacf3834ebb823ce2bb8a45eea5de94951a,1072.4077883844
0x0176818718ab98cd866e1794ad94b3861d9ac21df7ec204169a8b474c2801a6b,0xc43b60da1d1c8e87ed9445621419d292b0b3435a,2841
0x8ae171ff7ab9cc55e8671579a30ebaf6e0359255cc3fb9888678ee7da72df41e,0xb94607780d7df0b75a9cc56bbd4933d59b0dddb9,259
0xd34e0109be7f08feb4accf35dc59fcec4da9f032858c5cca465bce46e55fd937,0xd55a810191a955c5a5d65c3437762e8e60fd2f8f,353.37589308
0xeb898486b37573b27127184c17fc9fd7149d0f526f988b21627198e5b9126790,0x21f9927d306497a56e3469b16784f087bd1ae0ba,333
0x96d136e0fd8adb303ed05de7125da9de723f9d6fc1d535a3cc9e4543eb850076,0x72dd3d8fae1ce0d369d4a368b054682e923e679c,140.4088304738
0xcb9dac0bdc4b89a1ab5aaa9a61b470cb5ad0b50793d2ad3627b9ce21a8ba7010,0x41d07ab4b07bfbc8bbde1322d59d102d2c1dc6a7,213.42373436
0xbfa67f2306454c22b0bfddc7761b36125375ad02e9433527907b9515f10d7921,0x04d664e0c722f09ee4acb5ce82b8ba6483a33da3,262.63
0x492790af60979f2e5796b433a37bd6cc1053f966c5ec6c74cc227b255bd02edc,0x5ea88d15d7b637cb22fbaa03f413effc98947139,2191.5069093809
0x8507eb98a2dba61ec9ef8264cc7b024a0876849acea7bcaec7f5997649c656da,0xd1692f326287f627100a0e1445641310ac21679d,50
0xd0b89c346792068a2cdb93980c244d3168457676fbfffaf7f2b7afdca7aef85b,0xeae1d831547e91386c67caf10075e35abb000b9e,450.9662450442
0xc626e997aa665d0bf6f65a87301038ec26504aff81ef2367f2b0ae0cb7418605,0x0aa5be3f5226836e75a8c31b003d9fc16d25afa4,467.8128
0xc94883de229ef251d20eedd900a306dd58a4b97029df51dccea927e5f911742a,0xe00bd5dfaa6601ddd99215caa644ce21857cab45,252.95
0xd836276ae9cc87a6a6d7438d171b39bc3ac0800984248ab243deb7a2ab951c1b,0xb2ca1186fc2c644388558f276046c701c4dab538,20303.5703101994
0x5df178b33d2a0e1b57554e92b8b7f8cddbdddabf38b87b49e50715bad89db885,0x392d6e2ca78a1f14b7935928577b3feb18b8f8ed,600
0x1cf40bd05ea87f5c7a5359790904618a6b9bbaace08efafbffc1c961938469f4,0xb8f54cfb5bae79176ef550677a8be7db7c0aa8ff,3334
0x0b6cb798b6388a42da6bfe2f74069c89c69ac44a21eacf7bf052cea1e11afe25,0x526f094e072793b8ee58d2dfbf10d8cb8b5b6b56,460
0x9960853d6c3d52b64c53d4a857f364807620c29efe69b101ee26a8474c784907,0x088444cf5ad3dce4e983f85a111876ca2e3d3097,789
0x1f0132c8da90c7f8193a5f4b6a2e9d2508c8396f4344508a939fce3a393a62cc,0x28392258c74e4fc41f88f6baeef3a21975f04f4e,512.7479635337
0x5c4e41e750fb4d1ce5cbe6a3a65561a1ec62bd57742a38ed80e531ffebb7cf30,0x49566edb6bcca216f5e539cfb032a3205a91f8ba,500
0x81df4560b407c057da60db46e348da46e6bc4c48b31c5980362674546ff0bb7f,0x2968d06e2491881c04ba240cc530cebec75252e8,1
0xc09953eef0cf07f950911f3a75bfee50b3e1b914d7ba33e5350f9cd94e207640,0xac907b3cb603e54b2f1270d772bf324e943d5826,19050
0x64e24b7e052658770814a16fcbe531e27702e814e229d845389b37cb6b7dc6ec,0x7f5fe0cf45ad50b4e80fe66a87f692b7c006bc3e,245
0x10447b4956f7125e44f30a4314d0c8e2fa2d3a699e84942511ed1e8aa915ae19,0x354f034cb0f71c73b9f21a62188a64d85da45a48,1996
0xdd49474efc4c0e1cb1caeeec545c5fb3e4eddc7c1a5cddd215be0ed0d16b1cc7,0x3f4d472d814ab920d320d457269dc85a358b2baf,59.8694814177
0xf0a1020e7f67d798bc861cac3eb2b3bd58130e28b24a61295c2026f6fda593b4,0xfc675ef73ae287084ec238a19c123d71fd00891f,1031.5872
0x59a30b9b18edcbb0fd66b684727459cc17d9bc96878eac842563b4a2c653161d,0x431dec52a66166a70916894aeb8066c09bc70aa1,500
0x50a17358f3f9631fec642279926f0407c695d3926e7ba77647ad80753ec95b29,0x88dabf5f1754ab56f0178acc61e83517937bde89,54
0x3ffa349d1d9f9723ee0980f325786834393fcbbb33b6fc9ee3f5e967449b9bd8,0x0dc59ef3a29d4c7ac87ba04071eee3fb5dedf356,2000
0xd1375185e4c6455eb3dba2085a8be03c200aa2bb40742e5684ac84d8741e937c,0xf2172dac9059401c9e254690a478cc689681cd23,1500
0x5fcf6404288e5bbd1b02880b164209fd03f81406741328ed056b69a17b1bc8a8,0x8b01465de9ffc15aaf0bf1653b5c5f78b05ee56c,1000
0x09e8bbe9de0957abbb60716a425665562670eb0fd0b2d4b3e430a25796f4646f,0x49566edb6bcca216f5e539cfb032a3205a91f8ba,258.2
0x0b1b401eb01d0e6a03cbb3906c36712e65e4dabfb170173d0ea5adfb40744c69,0x0c1289ad5c4b7e81d6310d47696db55fa8e02b91,283.714
0x556604cc7a54b3db8a3f8edc12bd29bdd7689a3a1f4adaa84694312a950c8cbe,0x0e712ea33f5f21820d0fded3263220923fd3c273,750
0x6a6e54d02ec9cdeb83bdf11684cafb08cae8a2d1b5d4ad3dcc815d856a7f6c4a,0xf04d55d6cafbcadb6115f0db67c5c284ce6d84c6,507.0090239254
0xbc2c304799df1841bd524b8ea256d5717f5bd7fc178ef42d33878a7aef04c5f8,0x66d4908e053f7150038b1bf3579cf384fde0ba72,4998
0x2e82e972720abf0296ba130f8aba33985174cdb4b17f7510966f1e61c6b6bde1,0x5502d2fb37776055f1197618cf9dcf414c59ab27,310
0xf37058ea0bcc5ed305e139b5a61e455fd86db09e528a328f434aac521c909881,0xf5d0318692f822680b733955828a25507f031c95,15000
0x88028dbaf4028a58e52efbd0aa258e6a11f49e6699fd51d1436a93e37a1c4310,0x04d664e0c722f09ee4acb5ce82b8ba6483a33da3,2.77
0x46ac372992337e7295f08ede8c5820d7cc131aac2d42a7cf1d6f62ba81f17440,0x72e0876eb52087e571aa64f9b5b8b29bce04599d,205.6031355867
0xba11f935094447517c3350d83c3668b238d5e68e50161419636dbe06ad4da50a,0xf5d0318692f822680b733955828a25507f031c95,4000
0x5f4f9c5f9d0c6b12474be128b634c8d438111bc954b7b2a7a95640d1808b10bc,0xfa66ca06bdf988791adfbadd72e286a9552bcb74,54.1020023776
0xddeb287db1767e75c4ecb414b7926e3b30128120bbb8dbbfe1fc3fb20390b002,0x1ba96ce4c465d8cd7dcc4e4cad1592d0470cdb6b,1759.6327126273
0x1c059837c3b4fe32c833ad378a98dde733e324b56ce873ceba0abf81e123c065,0x3ca9f6dd0ce635b91d027b229cf660c788bd0912,1603
0x8116cd355fec512af4fdff371d51eb53a3649d1de970de25bc136311c542bb04,0x7f88b00db27a500fbfa7ebc9c3caa2dea6f59d5b,4953
0x0a9ddb43746220eeb7d017b7c18c240f547875a2eb222b74c863456b3f02a94c,0xa51c5aebb2b706d4c8ad538db30966a3fcb56965,2986.7753944845
0x35a14a851baad3ca91253fc1003446276c7ec6eae7137fcb5da987100c92c25b,0xee15ff07cec2970d36739862b8524a6d2a57f355,2000
0xf1fcf077bd4e4020a8c424cc46e87fbea382f450c0281c0602395296a14c0392,0xab5c97a94002d4c446a3ba6f7912044914fb9d1c,1984.6639894933
0x80d6ebd1f05a8a2358ec2ed91453b205cbaaf3d6803c9958a0f23df4983f9766,0x718c6a922eaa6c23634a28db026e95821bfa35c9,101
0xadc6627320486544fa4d6094488204f33f16f8e27776c5de8fd0e22405e6f41a,0x4c9c3626cf1828da7b58a50dc2f6aa2c4546609e,3000
0x2abd30dfd141aec9d171cdaa7b7caf815364e934ec0a66693d82042ada70656a,0x050468ecc9b590f5fd20105665e77429064b1e33,5000
0xdb7024fc7b40dbd73314563551f6b6545884d4fedf50b57bfb63818f9ab9a95b,0x5b121dcc1d970742a7ed75dfb744b1ec657b3f2d,9630
0x8b7fe3b5983074781c97d791f270ea5573bef5100c8022d45e67c65595311bfe,0xd71e4afedaa844e493fd612f7e9c32cc534fae61,2369.9839912746
0xd8f03536026a4fee5e0f0edd5cde9a534657e97f08b6eb1cfc8d4ca74db6765c,0x186a52b42cb9333e7ca9bf9998461f35c88bf758,2203.0031194014
0xc874fa4c3e44d01a42f5f02187221b7c7cd072e79428db0fa782b870b6bb6686,0x6fb21fe2ee17559693bb61df8144d074d13a9cf5,3004.3737540576
0x8a0596b219ec65dfff91d0c7466a55bf2830bf703ab847c89679464ce5c2dd4b,0x957040254644f992597d419f435e2ed6ce481b63,7000
0xae68d7067948befe2461783125ac9f2969c8bac8cf679fdd45b1fc492377f3d3,0xce90a7ac3c1cacf211f518d061e040e78bfc60b9,1031.5
0x09e33e45733448edc30988fc56e63074a822a6ebe9b7c87a64178e14d9745711,0x04d664e0c722f09ee4acb5ce82b8ba6483a33da3,0.13
0x8fb6d87f1724b6cdeb02ffda59aebf2fbe1598b8e892cf2c6bfaa50b17d5ddb2,0x431dec52a66166a70916894aeb8066c09bc70aa1,500
0x3134230d56453dc1d83a8e20c340d5ac3332380884035eb74ec1ea37930b5023,0x38a82f099d5be31068ec54a6ef603087945ef6e2,1225
0x15050dd352751788048d602fb6852b15f62076621bd88930133666a3d539a51a,0x648e9bd7cf73efde7c7db6fded093a93cd36b207,74.8270122718
0xda2ccfacc31aa5ea44c0b99272ee32440b209ec12617aa0fe9e0c9f3f41eb97e,0x53c42e3e9ba62b260cd0fb51c68b473a5d547d8c,930.6276
0x551d4a4a70f1026a94c050a153afdf751f9f93ffc0cfdf964d514a3fe1fad8d5,0x82e129173f19ae25f8d4aa2e6e710e60ba55ed96,5750
0xf817a6b5e1d1c434bed3a4f910a4339e557e732f9832c45fb6d5792a64951467,0x49566edb6bcca216f5e539cfb032a3205a91f8ba,0.015
0xa061696cfb521811a02d7a63fdfb601d95c71e6cd0e4ecc3292dab3245182b76,0xd0917ac1daacc35cc5aa3b5b987171723aa7230b,10506.7904189952
0xc91fd622aa0ad87a07b912cd11326c4105abcf31ce8cc57f5f5416aadba7caaa,0xbfe1c2d3bd47083db13cfe8f054fb8de76312d1e,0.014
0x0851a601028ce9d4c8e9b5976a48b029b5b922cac0be487d97ec921bfa374347,0xdf7c3a494bc9e07e105be67df8c1f569d29a8bdd,25.9276015628
0xd680468c4da6233e2442c310032366ed69f0b13e7740eca32243243d0456f2b7,0x4707c230f2e412cdc20efd0c5965b1e39de4c874,2884.908621
0xb0c2daa742299bf957bef051500b5f88cde6785af1fd6327deb38aa56de41c0a,0x68810a7e844978381b28afbe60f611aa5df33c01,0.0001
0xfee370698f3a1871829db6d04844cfda62fd82f0ee13436cecea75663b59ff06,0x3eb62166bd3c79a4f847782726481a73a6d3a4e9,201.39
0x22cf3eca9d4b219aebb19709404a0f931f4d567e1018d8f18c67a37f99b5ed98,0xac0d880cfc60204f21b9189147d6929ee268d92d,472.8751599732
0xcedd9881e15650b7d70c4d41a4689b080fc4e41c4c3ac3c8b8f961567afab6c6,0x3cabdb6b5eff6757e704489e442886c458b436ce,930.1953623695
0xea85613e089ed1087644ccd5aa84530c08dc204dfaedabf286965ca5c03b6e49,0x8d60700e61aa28d9595dcb9bc8c55ea14295b53e,1417.4328
0x2f066ea220a758882e9c6f381fba912f2b078421579470770dc291e14ef2261b,0x68810a7e844978381b28afbe60f611aa5df33c01,1.00E-012
0x6452a8c80dd593e2b19612f6a9d2e17997150f3441a42c1c3d093552931adb95,0x33d3e21b0bed187b8371ac40696f7349fe730398,2881
0x4f6263e5f79299044a3811092a023aa73dd5e1a98cf65f8cda8c1efc5a7c70ab,0x6958136b0ed4f162a4ecfab966b12b5e1ea657c4,1246.2710802237
0x9a7bafcb539ab125770eb647b243fdbf3b87c07e055e75375a9ffbb4fb10d44c,0x9d1b27796adb236512d4bc0f26de4c12dfde37d0,252.12
0x592757fd0cc364870087f6715669f4f03d10773a56348903e7e10f6b80b660c0,0x112926d0f1f82352669933915d0523cb0f25e1f3,2098.5076313869
0x90f0d02795120603b548698f11824ec253c0138ccf3d656098f5c9ae89802971,0x758e37aa67ecfc69787d84d52089bf12a2bdf624,5000
0x06291f3fb8edad5908b80e0401fcb834f6cfb28a80310ad82ea9a933e4c79677,0x47e06bd13e8c91ee8d3bbf19059a33e3244ddbdc,1192.968961417
0x17d6cce33cf528306b2406df65f7192c9e5bf43c55c180f89c933aba8c8142ec,0xf07a3a88e07a2b1df9d4e088a7f34ceb6cdf445a,630.0000001392
0x94f2a3f3f286427971ef38cf91e21e9e21a62b5c4468437235e8edd79b145dd2,0x1f2bdea049db6320c2176849407bfd14ab6f6dd5,208.5769528032
0x36ded094cd86320fbca2a2f5bf78a82876367aa5f1b90ea81099969e2ccd69ef,0xfc675ef73ae287084ec238a19c123d71fd00891f,1510
0x11c5ea977f6fc0aad6e64287b755e5f64d3db6df6bfcd70a2a6ce10671905a23,0x8cc1547f2aebbbaa9466310355110427449a937f,1480
0xdbf35be4e479ad518f83af75a53b47e806947677935479593cf97b091697d6a9,0x2a404dc51e0f15a51c7e6785027b2228577b49ee,2031.79
0xaf16a167bee9caea4c2c64060bcc8414cd779097adfc81d84b52307cf92ccb46,0x4a0b9c216e88efd5dc4b9924c410838ddae375ac,104.0743675626
0x24244e9bf89438efd807d989657b48707daef644881f636d8ca03c56d13aacb3,0x25cccf315fae1c0277a8d05ed16be5648d7d9d36,3000
0xdd421bffaeb5286ed1649724e9d42147287dcc58d71b5febab8e0e007ad804d2,0x9e5a295751e58dc9cedb98d6ff41b6eae673f9a3,1853.9666666667
0xb03898bcda67e2da871f53e5a23577db28e58c2e842330dd1ef98e293ade2548,0xdbea6ff6d56d689fd5dfef12108086a5fe03a961,1986.17
0x23c42e83e02208d5cf5a4eb786fedc25d141a1aba5994fb677993370e795f92c,0x33c6b1d14d4d98352d5b27e653a2a4d77efdaf67,208.42
0x562a75f99353d797052a04f0a4c0cfd7fa779c136b5f5a3d8e16da3322ec6e57,0x7c99ad27f9ac5f3d660623a169e072052334bbfc,1800.8423160579
0xcff30ecf8beb7b8c61f9c42da5f150cbf1e697fe126308564e67f9b8d5eb7a95,0x925bf698bed45cf508465a75ffacc23ac2cac429,311.9895040931
0x86829824788200b1f86f5ec96b080d4a683433b1d1cdac5610ba4813894a6f12,0xb00e87ae067a623ac0ecb83cbfcfba75eb8a717e,500
0x49f2db1f29174de04af8a542400748f80c5edf7b5c06961c167a4106ed648dc5,0x3c50368d48d418f269c271aa4a1815017439d3ea,13111.2590494163
0x342f78661f443929cc8663b88871b57e704948b6f6b1957610fd81f66d334096,0xa6a4a8184a7abd020bca733591cdcbbda8be27ed,705.750301796
0x49b9a235628e833f7ebe4e3fab5f9a55b8086e6351fddc30a2f28e08808a5701,0xd6bf9d9079139dbb3a4fdb84b07efc75ea77838f,4000.0007171212
0x09e2d502d7f95f39d0724b435ebfc9cbfa8a41f1e17b8c1cd226e960be876511,0x18a428ce0c31584a21cf8cefdb8849d8013e1994,895
0xb564c828c36269440246c64868e169e8678b4691bd0994dc4449dafd4f2d8f38,0xe98b6c22e1ee531e2c654286b506b0484a3f7e97,0.3
0x47f96db6597fc5622d3a99e0786ec4ac5e9cac0bafc59b2c8de4958fa9368075,0xc84c19bbf07d0cb7cc430fc3c51173c4acd5dd9d,10256
0x4ac2653e0359e44e3edf1707d838e2ff9d6f111aafe06e9404a0ec6559bcf209,0xaebfefcc209a5250578b5c1c97c3f40e2cf96985,100.12
0xa2aa012732f7e184da16fd9c1a8e6b2869e5503e6b61a48751a36e52abdec39f,0x70a9c497536e98f2dbb7c66911700fe2b2550900,555.4615560605
0x1ae15fdb85928012258684743ce08a865d493c41701804bb25e6614185f88acd,0xcb927731f27898b30ad85964f9c5b784772cb924,6826
0xea62e2f5d6ddbd18d84e176d45b31a9400e53291e8b0cb61ed88479567a21ad5,0x62c0e99b6e55680fd234818e4c1f17bba11f85c5,4994
0xce2e5f40fea5c62c94b92adf2f1f111c9e43f4a8339363fca5f7aae9a1a99e17,0x87a6be3552386cc5266a5596c88022d7d8f4aa97,888
0xe0098c91ef0b9e71ec5543727b9e40cc0ab635c489380f91bea3857c187a2dd2,0x6d3cb36a0f68bd936bfcc5e48fead6357f7f81ed,33184.7008
0xfb18f3dc42812edd44a15c4161c07ec33d712b6c33069c6f2498ca217d6777ac,0x2aa8961b2b0991b9830c5cc5f9a5b26a350cefae,25588.44
0xd77a5486db78a4e3317e719029fb5919d7b9d69e07ea4ee1c3fcc38bc3669f11,0x27a5c6a93f9f557abc64e12861c2e597474aa8f6,1047.1056698892
0x9ad68692173ea23e4cfe010169f9057133bed0925cd9cf5562ec81a3f5d8da21,0x5bd5ffda68214796c9d5e3cf792218bad8a16733,1179
0x5c95861f22d1509917cf05b405ba95ff8884c45e540fad3bbe32c158f1ca80c0,0xbfe1c2d3bd47083db13cfe8f054fb8de76312d1e,10000
0x317da1ae6f3297e3ecc87237cdfa9fbd82dea75df292df2f9d83f9bda78feb8c,0x8ea09f70b00c9ad4c33155b13721863d2b09b609,10000
0x2027c4b3e961593928e0a9e83d9b2b7dd0953a00e795ecc09b645794bfafbcb8,0x2e6d9adba8164dd78190ed387ee17dea4322e447,363.5905412472
0x96844c48e011d0dae82f82a1cfb2c6ca8824b09626b9d0d1edf49732e2e9b559,0x96c825a14934a121e60fc3b2d5926b0f1f47802c,2435.3156640706
0xb9ae1dc8f04b9c0d2e38fe96cae1164166fbcf089b18fd317904e47aff4f1cd1,0x58ba15026605bd25d79d1eb2822ded321d7796e1,1000
0xbf009b5863e4a6345709dc5534ece94cf0b3b7f651f4b2739160749916a1cb1f,0xb34f214b3a6b1507e6c9dee47417da6dd599a091,6417
0xbd5087b082196470a30e66075a11ddc6a1dd86b43d52475d3be6db980d88a96b,0x6873bb7e0af2cd23639f358e410fe686dd64fa55,3998.48
0x1567d80726254c4a026005c17af3ff2febdf261484f14be2b7a3dc891384dde9,0x769c6d51f9690c33e6a58fa9100b75bf467017da,53
0x6fdb6207404cdb7762ed4f99dfcb3c142dd30669cf25a0c1aa5b752aa4d39858,0x94ceb946e97b928b71b3dd29046585efd4cdf7f7,500
0xed98959f723e7e3d78de7d0b8b40601364fffbdcec82482134a05185b4d5029f,0xfcd1d2894ca5a6afa07c9579f5fd7ac4ba7a5481,12675.7996315173
0xe16a58fa0b6a233adca2477f14a41dce1112cc41186019357459a4f29ba67b78,0x76074895cc1271a952a28d3773e0874546dd1f84,10000
0x19ed6e04720adf928a2fd42ea03d0df393d0b163e0bd8f2a00ae69a37aacd5f5,0x7e3fa216e5aeb29f4238b263606ab06124c73e92,4277
0x3250c5d77145aa1e42fe27e7f3ea03d6384efecd7a24e7941a149158d4e21026,0xaa6a238b8765bff216b68420462fe6e285954b2d,319.18
0x022bacf2b4a4dd8123ba68ac5b975cc8bf277e74eec01728f0bb359837f0e2d0,0x7a995f25a27f6fadb4836414b884dc5a91d0d0f0,700
0x06f453821519731381df81867030ba05f14ce6e47f7c584c8e3d690801ec5654,0x992bc9e1c5fb19eeb7aba803b840ddb7dc9366b1,30000
0x9c5377e561ff1c7241e4173e473bc420c64abeaf897c7b4af946af48ae063664,0x3f4d472d814ab920d320d457269dc85a358b2baf,6.9632569069
0x9405abaa22611b5c828be94e97f1c35c987babe373c5e7501d887e628e264779,0x0e5a0edb4fa2386b11c6d3f2529eebe6f97a3fae,1307.9051768626
0xb803ccb609c7b36f293baf6415cf77c76e42974b3c3a9445d00b743d42e8cc69,0x2cb2c5e2609976e74111083b0d8805f0bf31a15a,15013.1344285546
0x4325735a602086d03429fa738845a68086b50434a9715b323c7e661ec757f7df,0x419869001780c72b57eab83b8c944551d9c53740,758.37
0xcd1dd50c3e96a7414bcc9a7482586f4be65c456c565274cea3cf26b98152cf7d,0x419869001780c72b57eab83b8c944551d9c53740,0.007478918
0xb5582235d53752a9033d933afc37438cf596674532a48952fa01dd546562a796,0x431dec52a66166a70916894aeb8066c09bc70aa1,500
0x63c5a7fb686f8fc4af63275605eaca24dd56c6008c8f8dba1e596bb304a3da04,0xf5e1b53d5012640b0676cb56d364576bd847237a,1672
0x1e894e7562198034679583ece8b20f6f55288bf11da5e9cb2584980535bebf32,0x243a4f33b4a9b3a45aded0c291cd64716ca80a8e,10403.035597656
0x7ab55103859a6acfa034888b036b42d52a39adb3c50cbc49f2307c6867890318,0xff68fc091392dc0638d8d08896167f51b298c136,247.2340792557
0xead9bd207e86c64645aa2d00dd70c24f262bee2b503be21178eb0d03844c7d8c,0xd10e2c5cb1a00a843e16b828d3f292b520fbfbec,600
0x2d8c46b7781ca3eea8f4ba3cc178d455f5c3d49dadef3f5c7f5ab00d9e59796b,0x431dec52a66166a70916894aeb8066c09bc70aa1,300
0x0c4710bec79a94d289b708466101601692a7360a42044f610ee9f1d164d33954,0xb877df08df30c41e41ecd6b21368678aa78b80ba,50
0x7f4f7724c03bdbe9e3ecfb0347827a07740aab7576f1d7e5f05cb246d878ce02,0x8114e78965b7f7e52e35b2cfbe33973a4ef320cb,3887.9957155952
0x58d07abc7783728a14b2ff160d8cec73116ab99cd352ed7e9552d9174b16e485,0xeae1d831547e91386c67caf10075e35abb000b9e,275.67
0xa636a20e158f3c0a7d44e32e612a1671bf4d58101e6234b5d209daa7123ed48e,0xe1e74a529731e7a30d3d59b4ef4fa2d39150e384,211.63
0xdcf9b3c183bcffa291f084e7d9769dc0aadb7ed56ef2198f873995257394d9e7,0x150b43888b42d00e72f6fc1278286ca6293c0325,166
